Program Started Successfully
x_coordinate = 0.975000
x_coordinate = 0.950000
x_coordinate = 0.925000
x_coordinate = 0.900000
x_coordinate = 0.875000
x_coordinate = 0.850000
x_coordinate = 0.825000
x_coordinate = 0.800000
x_coordinate = 0.775000
x_coordinate = 0.750000
x_coordinate = 0.725000
x_coordinate = 0.700000
x_coordinate = 0.675000
x_coordinate = 0.650000
x_coordinate = 0.625000
x_coordinate = 0.600000
x_coordinate = 0.575000
x_coordinate = 0.550000
x_coordinate = 0.525000
x_coordinate = 0.500000
x_coordinate = 0.475000
x_coordinate = 0.450000
x_coordinate = 0.425000
x_coordinate = 0.400000
x_coordinate = 0.375000
x_coordinate = 0.350000
x_coordinate = 0.325000
x_coordinate = 0.300000
x_coordinate = 0.275000
x_coordinate = 0.250000
x_coordinate = 0.225000
x_coordinate = 0.200000
x_coordinate = 0.175000
x_coordinate = 0.150000
x_coordinate = 0.125000
x_coordinate = 0.100000
x_coordinate = 0.075000
x_coordinate = 0.050000
x_coordinate = 0.025000
x_coordinate = 0.000000
x_coordinate = -0.975000
x_coordinate = -0.950000
x_coordinate = -0.925000
x_coordinate = -0.900000
x_coordinate = -0.875000
x_coordinate = -0.850000
x_coordinate = -0.825000
x_coordinate = -0.800000
x_coordinate = -0.775000
x_coordinate = -0.750000
x_coordinate = -0.725000
x_coordinate = -0.700000
x_coordinate = -0.675000
x_coordinate = -0.650000
x_coordinate = -0.625000
x_coordinate = -0.600000
x_coordinate = -0.575000
x_coordinate = -0.550000
x_coordinate = -0.525000
x_coordinate = -0.500000
x_coordinate = -0.475000
x_coordinate = -0.450000
x_coordinate = -0.425000
x_coordinate = -0.400000
x_coordinate = -0.375000
x_coordinate = -0.350000
x_coordinate = -0.325000
x_coordinate = -0.300000
x_coordinate = -0.275000
x_coordinate = -0.250000
x_coordinate = -0.225000
x_coordinate = -0.200000
x_coordinate = -0.175000
x_coordinate = -0.150000
x_coordinate = -0.125000
x_coordinate = -0.100000
x_coordinate = -0.075000
x_coordinate = -0.050000
x_coordinate = -0.025000
x_coordinate = -0.000000
y_coordinate = 0.975000
y_coordinate = 0.950000
y_coordinate = 0.925000
y_coordinate = 0.900000
y_coordinate = 0.875000
y_coordinate = 0.850000
y_coordinate = 0.825000
y_coordinate = 0.800000
y_coordinate = 0.775000
